City,Livability_Score,Listing_Type,Price,Sq_Ft,Beds,Baths,Estimated_monthly_payment,Crime,Employment,Housing,Schools,User_Ratings,Address_Line_1,Agent_Name,Agent_Company,Airports,Colleges,Military_Bases,Shopping_Centers,Parks_and_Recreation,Utilities,Kitchen_Features,HOA,Parking,Garage,Pool,Laundry,Pets_Allowed,State,Zipcode
South San Francisco,69,Condo ,749000.0,935.0,1,1,3537,C+,C+,C,D+,C+,1 Mandalay Place Unit 702,Elana Bennett,Coldwell Banker Realty,1,3,2,0,0,3,0,No,Yes,Yes,No,No,No,CA,94080
South San Francisco,69,House ,1398000.0,1500.0,3,2,6603,C+,C+,C,D+,C+,306 Avalon Drive,Anthony Batshon,Batshon Real Estate Company,1,3,2,2,0,1,2,Yes,No,No,Yes,No,No,CA,94080
South San Francisco,69,House ,949000.0,800.0,2,1,4482,C+,C+,C,D+,C+,709 W Orange Ave,Daniel Choi,Coldwell Banker Realty,1,3,2,2,0,4,0,No,Yes,Yes,No,No,No,CA,94080
South San Francisco,69,House ,1805000.0,2000.0,4,3,8525,C+,C+,C,D+,C+,814 Miller Ave,Maryann Ernst,KW Peninsula Estates,1,3,2,2,0,2,2,No,No,No,No,Yes,No,CA,94080
South San Francisco,69,House ,798000.0,1252.0,2,2,3769,C+,C+,C,D+,C+,45 Appian Way A,Rebecca Molano,Redfin,1,3,2,3,0,2,0,No,No,No,No,Yes,No,CA,94080
South San Francisco,69,House ,1180000.0,1610.0,3,3,5573,C+,C+,C,D+,C+,10 Moonlight Court,Michael Soon,Compass,1,3,2,3,0,3,1,Yes,Yes,No,Yes,No,No,CA,94080
South San Francisco,69,House ,1150000.0,1000.0,3,1,5431,C+,C+,C,D+,C+,303 Forest View Drive,Angie Barreto,"Angie Barreto, Broker",1,3,2,1,0,2,2,Yes,Yes,Yes,Yes,Yes,No,CA,94080
South San Francisco,69,House ,698000.0,877.0,2,2,3297,C+,C+,C,D+,C+,3550 Carter Dr 77,Wilson Leung & Assoc,Own Real Estate,1,3,2,1,0,3,3,No,No,No,No,Yes,No,CA,94080
South San Francisco,69,House ,1349000.0,1575.0,3,2,6371,C+,C+,C,D+,C+,389 Heather Way,Carole Fogelstrom,Golden Gate Sotheby's International Realty,1,3,2,0,0,3,1,Yes,Yes,Yes,No,No,No,CA,94080
South San Francisco,69,House ,1098000.0,1030.0,3,1,5186,C+,C+,C,D+,C+,216 Wicklow Dr,Wilson Leung & Assoc,Own Real Estate,1,3,2,3,0,3,6,No,No,No,No,Yes,No,CA,94080
South San Francisco,69,House ,1199000.0,1030.0,3,1,5663,C+,C+,C,D+,C+,218 Mansfield Dr,Elizabeth Nguyen,Intero Real Estate Services,1,3,2,3,0,2,4,No,No,No,Yes,Yes,No,CA,94080
South San Francisco,69,Condo ,463457.0,828.0,1,1,2189,C+,C+,C,D+,C+,2200 Gellert Boulevard # 6207,Robert Belli,Compass,1,3,2,3,0,1,1,Yes,Yes,No,Yes,Yes,Yes,CA,94080
South San Francisco,69,Townhouse ,749000.0,858.0,2,1,3537,C+,C+,C,D+,C+,3850 Annapolis Court,Angela Ho,Century 21 Realty Alliance Fine Homes and Estates,1,3,2,3,0,1,0,Yes,Yes,No,Yes,Yes,No,CA,94080
South San Francisco,69,House ,898000.0,1454.0,3,3,4241,C+,C+,C,D+,C+,872 Stonegate Dr,Joe Polyak,Rise Homes,1,3,2,0,0,2,0,No,No,No,No,No,No,CA,94080
South San Francisco,69,House ,1298000.0,1520.0,5,3,6130,C+,C+,C,D+,C+,1405 Hillside Boulevard,James Pan,KC Strategy Inc.,1,3,2,0,0,2,1,Yes,Yes,No,Yes,Yes,No,CA,94080
South San Francisco,69,House ,1195000.0,1160.0,3,1,5644,C+,C+,C,D+,C+,353 Granada Drive,Valerie Sancimino,Sotheby's International Realty,1,3,2,2,0,2,1,Yes,Yes,No,Yes,Yes,No,CA,94080
South San Francisco,69,House ,1499000.0,1950.0,4,3,7080,C+,C+,C,D+,C+,138 Dundee Dr,Victor M. Zolezzi,Coldwell Banker Realty,1,3,2,3,0,4,0,Yes,Yes,Yes,No,No,No,CA,94080
South San Francisco,69,House ,1888888.0,2240.0,4,3,8921,C+,C+,C,D+,C+,2340 Donegal Ave,Emily Manio,Coldwell Banker Realty,1,3,2,3,0,4,0,Yes,Yes,Yes,No,No,No,CA,94080
South San Francisco,69,House ,1180000.0,1260.0,3,1,5573,C+,C+,C,D+,C+,229 Brentwood Drive,Abby Chen,Far East Realty,1,3,2,1,0,2,3,Yes,No,No,Yes,Yes,No,CA,94080
South San Francisco,69,Condo ,700000.0,1090.0,2,2,3306,C+,C+,C,D+,C+,3865 Carter Drive # 106,Raymond Lam,"The Source Real Estate Company, Inc.",1,3,2,1,0,3,1,Yes,Yes,No,Yes,Yes,Yes,CA,94080
South San Francisco,69,House ,1088000.0,1000.0,3,1,5138,C+,C+,C,D+,C+,275 Village Way,Nicole Loza,Reliance Realty Group,1,3,2,0,0,2,3,No,No,No,No,Yes,No,CA,94080
South San Francisco,69,Townhouse ,1099000.0,1330.0,3,2,5190,C+,C+,C,D+,C+,2306 Julie Lane,Alicia Atienza,Statewide Realty,1,3,2,3,0,2,1,Yes,Yes,No,Yes,Yes,No,CA,94080
South San Francisco,69,House ,1550000.0,2360.0,4,3,7320,C+,C+,C,D+,C+,441 Mariposa Dr,Teresa Navarro,Intero Real Estate Services,1,3,2,3,0,2,7,No,No,No,No,Yes,No,CA,94080
San Mateo,75,Condo ,860000.0,1024.0,2,2,4062,C+,B+,C+,B-,B,1919 Alameda De Las Pulgas 63,Patrick Dolan,Coldwell Banker Realty,1,1,1,2,2,4,0,No,Yes,Yes,No,No,No,CA,94403
San Mateo,75,House ,1375000.0,1150.0,2,2,6494,C+,B+,C+,B-,B,181 E Hillsdale Blvd,Marcus Lee,Compass,1,2,1,2,2,2,6,No,No,No,No,Yes,No,CA,94403
San Mateo,75,House ,2200000.0,2090.0,3,2,10390,C+,B+,C+,B-,B,3517 Winway,The Patty Dwyer Group,Compass,1,1,1,1,1,2,0,No,No,No,No,No,No,CA,94403
San Mateo,75,House ,1298000.0,860.0,2,1,6130,C+,B+,C+,B-,B,302 E 39th Avenue,Dennis J. Murphy,Golden Gate Sotheby's International Realty,1,1,1,0,0,2,0,Yes,Yes,Yes,No,No,No,CA,94403
San Mateo,75,House ,2398000.0,1950.0,3,2,11325,C+,B+,C+,B-,B,5 Murphy Pl,Greg Damelio,Compass,1,1,1,2,2,2,5,No,No,No,No,Yes,No,CA,94402
San Mateo,75,House ,2598000.0,2450.0,4,3,12270,C+,B+,C+,B-,B,709 28th Ave,Wilson Leung & Assoc,Own Real Estate,1,1,1,1,1,3,7,No,No,No,No,Yes,No,CA,94403
